score: ,0,epsilon: ,1
score: ,0,epsilon: ,1
score: ,50,epsilon: ,1
score: ,90,epsilon: ,1
score: ,90,epsilon: ,1
score: ,90,epsilon: ,1
score: ,80,epsilon: ,1
score: ,80,epsilon: ,1
score: ,70,epsilon: ,1
score: ,70,epsilon: ,1
score: ,60,epsilon: ,1
score: ,60,epsilon: ,1
score: ,100,epsilon: ,1
score: ,0,epsilon: ,1
score: ,0,epsilon: ,1
score: ,50,epsilon: ,1
score: ,50,epsilon: ,1
score: ,90,epsilon: ,1
score: ,90,epsilon: ,1
score: ,90,epsilon: ,1
score: ,90,epsilon: ,1
score: ,140,epsilon: ,1
score: ,130,epsilon: ,1
score: ,0,epsilon: ,1
score: ,0,epsilon: ,1
score: ,0,epsilon: ,1
score: ,50,epsilon: ,1
score: ,50,epsilon: ,1
score: ,50,epsilon: ,1
score: ,50,epsilon: ,1
score: ,40,epsilon: ,1
score: ,40,epsilon: ,1
score: ,30,epsilon: ,1
score: ,20,epsilon: ,1
score: ,20,epsilon: ,1
score: ,20,epsilon: ,1
score: ,20,epsilon: ,1
score: ,20,epsilon: ,1
score: ,20,epsilon: ,1
score: ,20,epsilon: ,1
score: ,0,epsilon: ,1
score: ,0,epsilon: ,1
score: ,0,epsilon: ,1
score: ,0,epsilon: ,1
score: ,0,epsilon: ,1
score: ,50,epsilon: ,1
score: ,90,epsilon: ,1
score: ,140,epsilon: ,1
score: ,140,epsilon: ,1
score: ,130,epsilon: ,1
score: ,120,epsilon: ,1
score: ,120,epsilon: ,1
score: ,120,epsilon: ,1
score: ,0,epsilon: ,1
score: ,50,epsilon: ,1
score: ,50,epsilon: ,1
score: ,50,epsilon: ,1
score: ,40,epsilon: ,1
score: ,90,epsilon: ,1
score: ,90,epsilon: ,1
score: ,90,epsilon: ,1
score: ,80,epsilon: ,1
score: ,80,epsilon: ,1
score: ,70,epsilon: ,1
score: ,120,epsilon: ,1
score: ,110,epsilon: ,1
score: ,0,epsilon: ,1
score: ,50,epsilon: ,1
score: ,50,epsilon: ,1
score: ,40,epsilon: ,1
score: ,40,epsilon: ,1
score: ,40,epsilon: ,1
score: ,40,epsilon: ,1
score: ,40,epsilon: ,1
score: ,40,epsilon: ,1
score: ,40,epsilon: ,1
score: ,40,epsilon: ,1
score: ,80,epsilon: ,1
score: ,80,epsilon: ,1
score: ,120,epsilon: ,1
score: ,0,epsilon: ,1
score: ,50,epsilon: ,1
score: ,50,epsilon: ,1
score: ,90,epsilon: ,1
score: ,140,epsilon: ,1
score: ,140,epsilon: ,1
score: ,0,epsilon: ,1
score: ,50,epsilon: ,1
score: ,40,epsilon: ,1
score: ,40,epsilon: ,1
score: ,40,epsilon: ,1
score: ,90,epsilon: ,1
score: ,90,epsilon: ,1
score: ,130,epsilon: ,1
score: ,130,epsilon: ,1
score: ,130,epsilon: ,1
score: ,120,epsilon: ,1
score: ,120,epsilon: ,1
score: ,120,epsilon: ,1
score: ,120,epsilon: ,1
score: ,160,epsilon: ,1
score: ,160,epsilon: ,1
score: ,160,epsilon: ,1
score: ,160,epsilon: ,1
score: ,160,epsilon: ,1
score: ,150,epsilon: ,1
score: ,150,epsilon: ,1
score: ,150,epsilon: ,1
score: ,140,epsilon: ,1
score: ,140,epsilon: ,1
score: ,140,epsilon: ,1
score: ,140,epsilon: ,1
score: ,140,epsilon: ,1
score: ,140,epsilon: ,1
score: ,130,epsilon: ,1
score: ,130,epsilon: ,1
score: ,130,epsilon: ,1
score: ,130,epsilon: ,1
score: ,120,epsilon: ,1
score: ,120,epsilon: ,1
score: ,120,epsilon: ,1
score: ,120,epsilon: ,1
score: ,110,epsilon: ,1
score: ,110,epsilon: ,1
score: ,110,epsilon: ,1
score: ,110,epsilon: ,1
score: ,110,epsilon: ,1
score: ,110,epsilon: ,1
score: ,0,epsilon: ,1
score: ,0,epsilon: ,1
score: ,50,epsilon: ,1
score: ,90,epsilon: ,1
score: ,90,epsilon: ,1
score: ,90,epsilon: ,1
score: ,90,epsilon: ,1
score: ,90,epsilon: ,1
score: ,140,epsilon: ,1
score: ,140,epsilon: ,1
score: ,140,epsilon: ,1
score: ,0,epsilon: ,1
score: ,50,epsilon: ,1
score: ,90,epsilon: ,1
score: ,140,epsilon: ,1
score: ,0,epsilon: ,1
score: ,0,epsilon: ,1
score: ,0,epsilon: ,1
score: ,0,epsilon: ,1
score: ,50,epsilon: ,1
score: ,50,epsilon: ,1
score: ,50,epsilon: ,1
score: ,50,epsilon: ,1
score: ,50,epsilon: ,1
score: ,90,epsilon: ,1
score: ,90,epsilon: ,1
score: ,90,epsilon: ,1
score: ,80,epsilon: ,1
score: ,80,epsilon: ,1
score: ,0,epsilon: ,1
score: ,0,epsilon: ,1
score: ,0,epsilon: ,1
score: ,50,epsilon: ,1
score: ,90,epsilon: ,1
score: ,90,epsilon: ,1
score: ,90,epsilon: ,1
score: ,90,epsilon: ,1
score: ,90,epsilon: ,1
score: ,90,epsilon: ,1
score: ,90,epsilon: ,1
score: ,90,epsilon: ,1
score: ,80,epsilon: ,1
score: ,80,epsilon: ,1
score: ,70,epsilon: ,1
score: ,70,epsilon: ,1
score: ,70,epsilon: ,1
score: ,110,epsilon: ,1
score: ,110,epsilon: ,1
score: ,110,epsilon: ,1
score: ,110,epsilon: ,1
score: ,160,epsilon: ,1
score: ,150,epsilon: ,1
score: ,150,epsilon: ,1
score: ,150,epsilon: ,1
score: ,200,epsilon: ,1
score: ,240,epsilon: ,1
score: ,240,epsilon: ,1
score: ,240,epsilon: ,1
score: ,230,epsilon: ,1
score: ,230,epsilon: ,1
score: ,230,epsilon: ,1
score: ,220,epsilon: ,1
score: ,0,epsilon: ,1
score: ,0,epsilon: ,1
score: ,0,epsilon: ,1
score: ,0,epsilon: ,1
score: ,0,epsilon: ,1
score: ,50,epsilon: ,1
score: ,90,epsilon: ,1
score: ,140,epsilon: ,1
score: ,140,epsilon: ,1
score: ,140,epsilon: ,1
score: ,130,epsilon: ,1
score: ,130,epsilon: ,1
score: ,0,epsilon: ,1
score: ,50,epsilon: ,1
score: ,90,epsilon: ,1
score: ,90,epsilon: ,1
score: ,90,epsilon: ,1
score: ,80,epsilon: ,1
score: ,80,epsilon: ,1
score: ,80,epsilon: ,1
score: ,80,epsilon: ,1
score: ,80,epsilon: ,1
score: ,70,epsilon: ,1
score: ,70,epsilon: ,1
score: ,0,epsilon: ,1
score: ,50,epsilon: ,1
score: ,50,epsilon: ,1
score: ,40,epsilon: ,1
score: ,40,epsilon: ,1
score: ,40,epsilon: ,1
score: ,40,epsilon: ,1
score: ,40,epsilon: ,1
